Дата;Город;Магазин;"Кол-во оформленных(новых) заказов";"Кол-во заказов, переведенных в статус ""Заказ оформлен""";"Кол-во заказов, переведенных в статусы ""Заказ выдан"", ""Заказ выдан с изменениями""";"Кол-во заказов, переведенных в статус ""Заказ готов к выдаче""";"Кол-во заказов, переведенных в статус ""Заказ передан в обработку""";"Кол-во заказов, переведенных в статус ""Срок брони истек""";"Кол-во заказов, переведенных в статус ""К расформированию""";"Кол-во заказов, переведенных в статус ""Заказ аннулирован""";"Аннулировано по причине ""Нет в наличии""";"Аннулировано по причине ""Покупатель не отвечает на звонки""";"Аннулировано по причине ""Покупатель не пришел""";"Аннулировано по причине ""Покупатель отказался""";"Аннулировано по причине ""Покупатель купил в другом магазине""";"Аннулировано по причине ""Размер не подошел""";"Аннулировано по причине ""Брак""";"Аннулировано по причине ""Другое""";"Аннулировано по причине ""Срок доставки""";"Аннулировано по причине ""Передумал""";"Аннулировано по причине ""Нет примерки""";"Аннулировано по причине ""Платная доставка""";"Аннулировано по причине ""Переоформит до бесплатной доставки""";"Аннулировано по причине ""Нет ответа""";"Аннулировано по причине ""Ошибся с размером""";"Аннулировано по причине ""Нет товара""";"Аннулировано по причине ""Прочее"""
01.08.2020;Москва;"ТЦ «Авиапарк» (№ 7706) (№ 7706)";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Москва;"ТРЦ «COLUMBUS» (№ 7707) (№ 7707)";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Москва;"ТЦ «Город» (№ 7712) (№ 7712)";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Санкт-Петербург;" ТК «Фиолент» (№ 7801) (№ 7801)";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Санкт-Петербург;"ТЦ «Балканский» (№ 7805) (№ 7805)";2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Санкт-Петербург;"ТЦ «Академ-Парк» (№ 7806) (№ 7806)";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Санкт-Петербург;"ТЦ «Международный» (№ 7807) (№ 7807)";2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Санкт-Петербург;"ТРК «Лондон Молл» (№ 7812) (№ 7812)";1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Санкт-Петербург;"ТРК «Континент» (№ 7815) (№ 7815)";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2020;Астрахань;"ТРЦ «Ярмарка» (№ 3002) (№ 3002)";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
